_inputshopbuymultiple;BUY
achievement_10539_desc;Trigger 10 deathwish abilities in online matches.
achievement_10539_title;Hit me!
achievement_10540_desc;Trigger 100 deathwish abilities in online matches.
achievement_10540_title;Spare no one
achievement_10541_desc;Trigger 1,000 deathwish abilities in online matches.
achievement_10541_title;Worthy Sacrifice
achievement_10542_desc;Scorch a unit with at least 50 power in an online match.
achievement_10542_title;The bigger they are...
achievement_10543_desc;Have 0 cards in hand at the end of every round and win an online match.
achievement_10543_title;No Holds Barred
achievement_10544_desc;Play 10 units from your graveyard during online matches.
achievement_10544_title;Unorthodox Methods
achievement_10545_desc;Play 100 units from your graveyard during online matches.
achievement_10545_title;It's only a flesh wound
achievement_10546_desc;Play 1,000 units from your graveyard during online matches.
achievement_10546_title;Did someone say medic?
achievement_10547_desc;Win an online match where one of your unit's strength is at least 50.
achievement_10547_title;Bodybuilder
achievement_10548_desc;Transform a card during an online match.
achievement_10548_title;Metamorphosis
achievement_10549_desc;Destroy at least 3 units with 1 card and win an online match.
achievement_10549_title;Trinity
achievement_10550_desc;Replace a row effect with a different row effect during an online match.
achievement_10550_title;Brave the elements
achievement_10551_title;Pleased to Meet You
achievement_10552_title;Be My Sidekick?
achievement_10553_title;Companions in War
achievement_10554_title;Kindred Spirits
achievement_10555_title;First Blood
achievement_10556_title;Carnage
achievement_10557_title;Butcherin'
achievement_10558_title;Executioner
achievement_10559_title;Detox
achievement_10560_title;Au Naturel
achievement_10561_title;Undiluted
achievement_10562_title;Purist
achievement_10563_title;Agitated
achievement_10564_title;Enraged
achievement_10565_title;Deranged
achievement_10566_title;RAAAARGHHH!!
achievement_10567_title;Missionary
achievement_10568_title;Settler
achievement_10569_title;Colonizer
achievement_10570_title;Imperium
achievement_10571_title;Howdy, Neighbor!
achievement_10572_title;Strength in Difference
achievement_10573_title;United We Stand!
achievement_10574_title;Children of Nature
achievement_10575_title;Just a Little Pinprick
achievement_10576_title;Bloodstained
achievement_10577_title;Blood-drenched
achievement_10578_title;Crimson Bloodbath
achievement_10579_title;Buckler
achievement_10580_title;Heater Shield
achievement_10581_title;Pavise Shield
achievement_10582_title;Mantlet
achievement_10583_title;Droplet in Your Goblet
achievement_10584_title;Venomist
achievement_10585_title;Killer Taste
achievement_10586_title;Iocane Powder
achievement_10587_title;Fit to Serve
achievement_10588_title;Dolce Vita
achievement_10589_title;Sound as a Bell
achievement_10590_title;Life Expectancy: High
achievement_10591_title;Vulnerable
achievement_10592_title;Helpless
achievement_10593_title;Brute-Force
achievement_10594_title;Shieldbreaker
achievement_10595_desc;Destroy a Poisoned unit without giving it additional Poison.
achievement_10595_title;Restless Assassin
achievement_10596_desc;Win a game using a Syndicate ability without using any coins.
achievement_10596_title;No Money No Problem
achievement_10597_desc;Win a game using a Syndicate ability and still have 9 coins at the end of the game.
achievement_10597_title;Deep Pockets
achievement_10598_desc;Win a game using a Syndicate ability and don't have any coins at the end of the game
achievement_10598_title;To the Last Cent
achievement_10599_title;Spendthrift
achievement_10600_title;Penny-pincher
achievement_10601_title;Tightwad
achievement_10602_title;Cheapskate
achievement_10603_title;Scrooge
achievement_10604_title;Chump Change
achievement_10605_title;Heavy Purse
achievement_10606_title;Investor
achievement_10607_title;Venture Capital
achievement_10608_title;New Member
achievement_10609_title;Syndicate Perks
achievement_10610_title;Offer You Can't Refuse
achievement_10611_title;Final Dues
achievement_10612_title;Piggybank
achievement_10613_title;Hoarder
achievement_10614_title;Stockpiler
achievement_10615_title;Vault
achievement_10620_title;Wanted
achievement_10621_title;Marked
achievement_10622_title;Pursued
achievement_10623_title;Hunted
achievement_10624_title;First payment
achievement_10625_title;Small Operation
achievement_10626_title;Pretty Rich
achievement_10627_title;Financial Bubble
achievement_10628_title;Bully
achievement_10629_title;Strong-Arm
achievement_10630_title;Enforcer
achievement_10631_title;Muscle
achievement_10634_desc;Add armor to units 10 times
achievement_10634_title;Heat Up!
achievement_10635_desc;Add armor to units 100 times
achievement_10635_title;Water and Chill
achievement_10636_desc;Add armor to units 500 times
achievement_10636_title;Temper, Temper
achievement_10637_desc;Add armor to units 1,000 times
achievement_10637_title;Hardened Steel
achievement_10638_desc;Trigger Barricade 10 times
achievement_10638_title;Barricade
achievement_10639_desc;Trigger Barricade 100 times
achievement_10639_title;Outpost
achievement_10640_desc;Trigger Barricade 500 times
achievement_10640_title;Fort
achievement_10641_desc;Trigger Barricade 1,000 times
achievement_10641_title;Castle
achievement_10642_desc;Trigger Exposed 10 times
achievement_10642_title;Tis But a Scratch
achievement_10643_desc;Trigger Exposed 100 times
achievement_10643_title;Just a Flesh Wound
achievement_10644_desc;Trigger Exposed 500 times
achievement_10644_title;I'm Invincible
achievement_10645_desc;Trigger Exposed 1,000 times
achievement_10645_title;I'll Bite Your Legs Off
achievement_10646_desc;Reach the 3rd stage with Evolving cards from the Master Mirror expansion 5 times
achievement_10646_title;Lv. 1 Crook
achievement_10647_desc;Reach the 3rd stage with Evolving cards from the Master Mirror expansion 50 times
achievement_10647_title;Lv. 10 Hitman
achievement_10648_desc;Reach the 3rd stage with Evolving cards from the Master Mirror expansion 250 times
achievement_10648_title;Lv. 30 Boss
achievement_10649_desc;Reach the 3rd stage with Evolving cards from the Master Mirror expansion 500 times
achievement_10649_title;Lv. 100 Godfather
achievement_10650_desc;Deal damage with Frost 25 times
achievement_10650_title;Gives Me Chills
achievement_10651_desc;Deal damage with Frost 250 times
achievement_10651_title;Ice Cold Lemonade
achievement_10652_desc;Deal damage with Frost 1250 times
achievement_10652_title;Cool Story, Bro
achievement_10653_desc;Deal damage with Frost 2500 times
achievement_10653_title;Frost Punk
achievement_10654_desc;Trigger Conspiracy 10 times
achievement_10654_title;It's Just a Conspiracy Theory!
achievement_10655_desc;Trigger Conspiracy 100 times
achievement_10655_title;Flat World Society
achievement_10656_desc;Trigger Conspiracy 500 times
achievement_10656_title;Men in Black
achievement_10657_desc;Trigger Conspiracy 1000 times
achievement_10657_title;New World Order
achievement_10658_desc;Spawn 10 Wandering Treants
achievement_10658_title;Going Green
achievement_10659_desc;Spawn 100 Wandering Treants
achievement_10659_title;Mother Nature's Son
achievement_10660_desc;Spawn 500 Wandering Treants
achievement_10660_title;A Sea of Green
achievement_10661_desc;Spawn 1000 Wandering Treants
achievement_10661_title;The Day of the Treants
achievement_10662_desc;Spawn 10 Volunteers
achievement_10662_title;Squad
achievement_10663_desc;Spawn 100 Volunteers
achievement_10663_title;Company
achievement_10664_desc;Spawn 500 Volunteers
achievement_10664_title;Battalion
achievement_10665_desc;Spawn 1000 Volunteers
achievement_10665_title;Brigade
achievement_10666_desc;Spawn 10 Flaming Rose Footmen
achievement_10666_title;Flaming Rose Footman
achievement_10667_desc;Spawn 100 Flaming Rose Footmen
achievement_10667_title;Knight of the Flaming Rose
achievement_10668_desc;Spawn 500 Flaming Rose Footmen
achievement_10668_title;Marshal of the Flaming Rose
achievement_10669_desc;Spawn 1000 Flaming Rose Footmen
achievement_10669_title;Grand Master of the Flaming Rose
achievement_10670_desc;Trigger the Veteran keyword 10 times
achievement_10670_title;Thrall
achievement_10671_desc;Trigger the Veteran keyword 100 times
achievement_10671_title;Freedman
achievement_10672_desc;Trigger the Veteran keyword 500 times
achievement_10672_title;Ceorl
achievement_10673_desc;Trigger the Veteran keyword 1000 times
achievement_10673_title;Housecarl
achievement_10674_desc;Play 10 Witchers
achievement_10674_title;Kidnapped
achievement_10675_desc;Play 100 Witchers
achievement_10675_title;Trial of the Grasses
achievement_10676_desc;Play 500 Witchers
achievement_10676_title;Brutal Martial Training
achievement_10677_desc;Play 1000 Witchers
achievement_10677_title;Grown Up Monster Slaying Witchers
achievement_10678_desc;Trigger Adrenaline keyword 10 times
achievement_10678_title;Adrenaline Rush
achievement_10679_desc;Trigger Adrenaline keyword 100 times
achievement_10679_title;Adrenaline Junkie
achievement_10680_desc;Trigger Adrenaline keyword 500 times
achievement_10680_title;Adrenaline Shots
achievement_10681_desc;Trigger Adrenaline keyword 1000 times
achievement_10681_title;I Need to Chill
achievement_10682_desc;Trigger Sabbath keyword 10 times
achievement_10682_title;Paranoia
achievement_10683_desc;Trigger Sabbath keyword 100 times
achievement_10683_title;Iron Maiden
achievement_10684_desc;Trigger Sabbath keyword 500 times
achievement_10684_title;War Boar
achievement_10685_desc;Trigger Sabbath keyword 1000 times
achievement_10685_title;"And We Have Killed Him"
achievement_10686_desc;Trigger Patience keyword 10 times
achievement_10686_title;... Is A Virtue
achievement_10687_desc;Trigger Patience keyword 100 times
achievement_10687_title;Self-Control
achievement_10688_desc;Trigger Patience keyword 500 times
achievement_10688_title;To Lose Patience Is To Lose The Battle
achievement_10689_desc;Trigger Patience keyword 1000 times
achievement_10689_title;A Minor Form of Despair
achievement_11001_desc;Complete 3 quests while supporting Monsters during a challenge event.
achievement_11001_title;Minion
achievement_11002_desc;Complete 5 quests while supporting Monsters during a challenge event.
achievement_11002_title;Apprentice
achievement_11003_desc;Complete 10 quests while supporting Monsters during a challenge event.
achievement_11003_title;Acolyte
achievement_11004_desc;Complete 15 quests while supporting Monsters during a challenge event.
achievement_11004_title;Sycophant
achievement_11005_desc;Complete 25 quests while supporting Monsters during a challenge event.
achievement_11005_title;Colossus
achievement_11011_desc;Complete 3 quests while supporting Skellige during a challenge event.
achievement_11011_title;Raider
achievement_11012_desc;Complete 5 quests while supporting Skellige during a challenge event.
achievement_11012_title;Outlaw
achievement_11013_desc;Complete 10 quests while supporting Skellige during a challenge event.
achievement_11013_title;Pillager
achievement_11014_desc;Complete 15 quests while supporting Skellige during a challenge event.
achievement_11014_title;First Mate
achievement_11015_desc;Complete 25 quests while supporting Skellige during a challenge event.
achievement_11015_title;Pirate Captain
achievement_11021_desc;Complete 3 quests while supporting Northern Realms during a challenge event.
achievement_11021_title;Rookie
achievement_11022_desc;Complete 5 quests while supporting Northern Realms during a challenge event.
achievement_11022_title;Lieutenant
achievement_11023_desc;Complete 10 quests while supporting Northern Realms during a challenge event.
achievement_11023_title;Loyalist
achievement_11024_desc;Complete 15 quests while supporting Northern Realms during a challenge event.
achievement_11024_title;Patriot
achievement_11025_desc;Complete 25 quests while supporting Northern Realms during a challenge event.
achievement_11025_title;For King and Country
achievement_11031_desc;Complete 3 quests while supporting Nilfgaard during a challenge event.
achievement_11031_title;Spy
achievement_11032_desc;Complete 5 quests while supporting Nilfgaard during a challenge event.
achievement_11032_title;Assassin
achievement_11033_desc;Complete 10 quests while supporting Nilfgaard during a challenge event.
achievement_11033_title;Backstabber
achievement_11034_desc;Complete 15 quests while supporting Nilfgaard during a challenge event.
achievement_11034_title;Spymaster
achievement_11035_desc;Complete 25 quests while supporting Nilfgaard during a challenge event.
achievement_11035_title;Emperor's Will
achievement_11041_desc;Complete 3 quests while supporting Scoia'tael during a challenge event.
achievement_11041_title;Insurgent
achievement_11042_desc;Complete 5 quests while supporting Scoia'tael during a challenge event.
achievement_11042_title;Cutthroat
achievement_11043_desc;Complete 10 quests while supporting Scoia'tael during a challenge event.
achievement_11043_title;Revolutionary
achievement_11044_desc;Complete 15 quests while supporting Scoia'tael during a challenge event.
achievement_11044_title;Zealot
achievement_11045_desc;Complete 25 quests while supporting Scoia'tael during a challenge event.
achievement_11045_title;Commando Leader
achievement_11051_title;Errand Boy
achievement_11052_title;Petty Criminal
achievement_11053_title;Lieutenant
achievement_11054_title;Right Hand Man
achievement_11055_title;Head Honcho
achievement_11061_title;Help for hire!
achievement_11062_title;Mediator
achievement_11063_title;Freelancer
achievement_11064_title;Mercenary
achievement_11065_title;Soldier of Fortune
achievement_11066_desc;Boost Shani to 20 Points
achievement_11066_title;From Radovid with Love
achievement_12001_desc;Win 1 match with Bridge on the Yaruga board equipped
achievement_12001_title;Battle for the Bridge on the Yaruga
achievement_12002_desc;Win 15 matches on Bridge on the Yaruga board equipped
achievement_12002_title;For Lyria!
achievement_12003_desc;Win 50 matches on Bridge on the Yaruga board equipped
achievement_12003_title;Siege Master
achievement_12005_desc;Complete 1 Daily Quest during Ciri & Yennefer's Birthday Party!
achievement_12005_title;Start the party!
achievement_12006_desc;Complete 2 Daily Quests during Ciri & Yennefer's Birthday Party!
achievement_12006_title;Make a wish!
achievement_12007_desc;Complete 3 Daily Quests during Ciri & Yennefer's Birthday Party!
achievement_12007_title;Happy Birthday!
achievement_12009_title;Toss A Coin To Your Witcher
achievement_12009_title_alt;Sign Of The Witcher
achievement_12009_title_alt_2;Toss A Coin To Your Wolf
achievement_12010_title;Toss A Coin To Your Princess
achievement_12010_title_alt;Sign Of The Princess
achievement_12011_title;Toss A Coin to Your Mage
achievement_12011_title_alt;Sign Of The Sorceress
achievement_12013_title;Just A Mercenary
achievement_12014_title;Not Just A Mercenary
achievement_12015_title;Not Just Any Mercenary
achievement_12017_title;Just Play Along
achievement_12024_title;The Great Shuffle
achievement_12028_title;The Greatest Shuffle
achievement_12030_desc;Open a keg
achievement_12030_title;Cracking Open A Gold One
achievement_12035_title;Press GG To Pay Respects
achievement_13005_desc;Win 10 Matches with Shupe skin
achievement_13005_title;Lovely!
achievement_20001_desc;Play an online match in any mode.
achievement_20001_title;Try it, they said
achievement_20002_desc;Play 5 online matches in any mode.
achievement_20002_title;Hook, line, and sinker
achievement_20003_desc;Play 25 online matches in any mode.
achievement_20003_title;In it to win it
achievement_20004_desc;Play 100 online matches in any mode.
achievement_20004_title;Young Commander
achievement_20005_desc;Play 500 online matches in any mode.
achievement_20005_title;Conqueror
achievement_20100_desc;Send your opponent a GG.
achievement_20100_title;Table Manners
achievement_20101_desc;Send your opponent a GG 10 times.
achievement_20101_title;Shake Hands
achievement_20102_desc;Send your opponent a GG 100 times.
achievement_20102_title;Model Sportsman
achievement_20103_desc;Send your opponent a GG 200 times.
achievement_20103_title;Worthy Opponent
achievement_20104_desc;Send your opponent a GG 500 times.
achievement_20104_title;Don't stop me now
achievement_20105_desc;Send your opponent a GG 1,000 times.
achievement_20105_title;Havin' such a good time
achievement_20106_desc;Send your opponent a GG 5,000 times.
achievement_20106_title;Floating in ecstasy
achievement_20200_desc;Win 100 matches with each faction's base ability.
achievement_20200_title;Jack of all trades
achievement_20210_desc;Win 100 matches with each Monster base ability.
achievement_20210_title;Nightmare
achievement_20211_desc;Win 100 matches with the Carapace ability.
achievement_20211_title;Carapace Mastery
achievement_20212_desc;Win 100 matches with the Arachas Swarm ability.
achievement_20212_title;Arachas Swarm Mastery
achievement_20213_desc;Win 100 matches with the Force of Nature ability
achievement_20213_title;Force of Nature Mastery
achievement_20214_desc;Win 100 matches with the White Frost ability
achievement_20214_title;White Frost Mastery
achievement_20220_desc;Win 100 matches with each Nilfgaard base ability.
achievement_20220_title;The Emperor
achievement_20221_desc;Win 100 matches with the Imprisonment ability
achievement_20221_title;Imprisonment Mastery
achievement_20222_desc;Win 100 matches with the Lockdown ability
achievement_20222_title;Lockdown Mastery
achievement_20223_desc;Win 100 matches with the Imperial Formation ability
achievement_20223_title;Imperial Formation Mastery
achievement_20224_desc;Win 100 matches with the Tactical Decision ability
achievement_20224_title;Tactical Decision Mastery
achievement_20230_desc;Win 100 matches with each Northern Realms base ability.
achievement_20230_title;King of Kings
achievement_20231_desc;Win 100 matches with the Inspired Zeal ability
achievement_20231_title;Inspired Zeal Mastery
achievement_20232_desc;Win 100 matches with the Shieldwall ability
achievement_20232_title;Shieldwall Mastery
achievement_20233_desc;Win 100 matches with the Mobilization ability
achievement_20233_title;Mobilization Mastery
achievement_20234_desc;Win 100 matches with the Stockpile ability
achievement_20234_title;Stockpile Mastery
achievement_20240_desc;Win 100 matches with each Scoia'tael base ability.
achievement_20240_title;Guerrilla
achievement_20241_desc;Win 100 matches with the Precision Strike ability
achievement_20241_title;Precision Strike Mastery
achievement_20242_desc;Win 100 matches with the Invigorate ability
achievement_20242_title;Invigorate Mastery
achievement_20243_desc;Win 100 matches with the Nature's Gift ability
achievement_20243_title;Nature's Gift Mastery
achievement_20244_desc;Win 100 matches with the Guerilla Tactics ability
achievement_20244_title;Guerilla Tactics Mastery
achievement_20250_desc;Win 100 matches with each Skellige base ability.
achievement_20250_title;The Jarl
achievement_20251_desc;Win 100 matches with the Reckless Flurry ability
achievement_20251_title;Reckless Flurry Mastery
achievement_20252_desc;Win 100 matches with the Rage of the Sea ability
achievement_20252_title;Rage of the Sea Mastery
achievement_20253_desc;Win 100 matches with the Onslaught ability
achievement_20253_title;Onslaught Mastery
achievement_20254_desc;Win 100 matches with the Battle Trance ability
achievement_20254_title;Battle Trance Mastery
achievement_20260_desc;Win 100 matches with each Thronebreaker ability.
achievement_20260_title;Savior of Lyria and Rivia
achievement_20261_desc;Win 100 matches with the Patricidal Fury ability
achievement_20261_title;Patricidal Fury Mastery
achievement_20262_desc;Win 100 matches with the Deadeye Ambush ability
achievement_20262_title;Deadeye Ambush Mastery
achievement_20263_desc;Win 100 matches with the Royal Inspiration ability
achievement_20263_title;Royal Inspiration Mastery
achievement_20264_desc;Win 100 matches with the Enslave ability
achievement_20264_title;Enslave Mastery
achievement_20265_desc;Win 100 matches with the Fruits of Ysgith ability
achievement_20265_title;Fruits of Ysgith Mastery
achievement_20270_desc;Win 100 matches with each Crimson Curse ability.
achievement_20270_title;Crimson Overlord
achievement_20271_desc;Win 100 matches with the Call of Harmony ability
achievement_20271_title;Call of Harmony Mastery
achievement_20272_desc;Win 100 matches with the Ursine Ritual ability
achievement_20272_title;Ursine Ritual Mastery
achievement_20273_desc;Win 100 matches with the Blood Scent ability
achievement_20273_title;Blood Scent Mastery
achievement_20274_desc;Win 100 matches with the Double Cross ability
achievement_20274_title;Double Cross Mastery
achievement_20275_desc;Win 100 matches with the Pincer Maneuver ability
achievement_20275_title;Pincer Maneuver Mastery
achievement_20280_desc;Win 100 matches with each of Syndicate abilities
achievement_20280_title;Master of Shadows
achievement_20281_desc;Win 100 matches with the Congregate ability
achievement_20281_title;Congregate Mastery
achievement_20282_desc;Win 100 matches with the Pirate's Cove ability
achievement_20282_title;Pirate's Cove Mastery
achievement_20283_desc;Win 100 matches with the Jackpot ability
achievement_20283_title;Jackpot Mastery
achievement_20284_desc;Win 100 matches with the Off the Books ability
achievement_20284_title;Off the Books Mastery
achievement_20285_desc;Win 100 matches with the Blood Money ability
achievement_20285_title;Blood Money Mastery
achievement_20286_desc;Win 100 matches with the Lined Pockets ability
achievement_20286_title;Lined Pockets Mastery
achievement_20290_desc;Win 100 matches with each Year of the Wererat ability
achievement_20290_title;Hereditary Wererat
achievement_20291_desc;Win 100 matches with the  Overwhelming Hunger ability
achievement_20291_title;Overwhelming Hunger Mastery
achievement_20292_desc;Win 100 matches with the Imposter ability
achievement_20292_title;Imposter Mastery
achievement_20293_desc;Win 100 matches with the Uprising ability
achievement_20293_title;Uprising Mastery
achievement_20294_desc;Win 100 matches with the Mahakam Forge ability
achievement_20294_title;Mahakam Forge Mastery
achievement_20295_desc;Win 100 matches with the Blaze of Glory ability
achievement_20295_title;Blaze of Glory Mastery
achievement_20296_desc;Win 100 matches with the Hidden Cache ability
achievement_20296_title;Hidden Cache Mastery
achievement_20501_desc;Win 25 Matches with a Monsters ability
achievement_20501_title;Leaving the nest
achievement_20502_desc;Win 100 Matches with a Monsters ability
achievement_20502_title;Monsters, Inc.
achievement_20503_desc;Win 250 Matches with a Monsters ability
achievement_20503_title;Bloodbath
achievement_20504_desc;Win 500 Matches with a Monsters ability
achievement_20504_title;No escape
achievement_20505_desc;Win 1000 Matches with a Monsters ability
achievement_20505_title;Darkness Falls
achievement_20511_desc;Win 25 Matches with a Nilfgaard ability
achievement_20511_title;War on the horizon
achievement_20512_desc;Win 100 Matches with a Nilfgaard ability
achievement_20512_title;For the glory of the empire!
achievement_20513_desc;Win 250 Matches with a Nilfgaard ability
achievement_20513_title;The great sun also rises
achievement_20514_desc;Win 500 Matches with a Nilfgaard ability
achievement_20514_title;Smells like victory
achievement_20515_desc;Win 1000 Matches with a Nilfgaard ability
achievement_20515_title;Surrender or die
achievement_20521_desc;Win 25 Matches with a Northern Realms ability
achievement_20521_title;Potato Peeler
achievement_20522_desc;Win 100 Matches with a Northern Realms ability
achievement_20522_title;Rally the banners
achievement_20523_desc;Win 250 Matches with a Northern Realms ability
achievement_20523_title;Death to Invaders
achievement_20524_desc;Win 500 Matches with a Northern Realms ability
achievement_20524_title;Strength in unity
achievement_20525_desc;Win 1000 Matches with a Northern Realms ability
achievement_20525_title;Glory in vengeance
achievement_20531_desc;Win 25 Matches with a Scoia'tael ability
achievement_20531_title;Brokilon!
achievement_20532_desc;Win 100 Matches with a Scoia'tael ability
achievement_20532_title;Shadow Warrior
achievement_20533_desc;Win 250 Matches with a Scoia'tael ability
achievement_20533_title;True Aim
achievement_20534_desc;Win 500 Matches with a Scoia'tael ability
achievement_20534_title;Silent Assassins
achievement_20535_desc;Win 1000 Matches with a Scoia'tael ability
achievement_20535_title;Whose land? Our land!
achievement_20541_desc;Win 25 Matches with a Skellige ability
achievement_20541_title;Land ho!
achievement_20542_desc;Win 100 Matches with a Skellige ability
achievement_20542_title;Get yourself an axe
achievement_20543_desc;Win 250 Matches with a Skellige ability
